data.bams..SRR1029151.alignments_sorted_subsampled.bam	data.bams..SRR1029152.alignments_sorted_subsampled.bam	data.bams..SRR1029153.alignments_sorted_subsampled.bam	data.bams..SRR1029156.alignments_sorted_subsampled.bam	data.bams..SRR1029157.alignments_sorted_subsampled.bam	data.bams..SRR1029158.alignments_sorted_subsampled.bam
tL(CAA)C	0	0	0	0	0	1
YCL018W	69	72	66	42	53	54
YCL017C	46	59	55	44	40	61
YCL016C	13	20	16	16	15	18
YCL014W	44	57	32	42	31	44
YCL012C	7	7	7	11	14	19
YCL011C	48	47	35	49	42	53
YCL010C	18	25	14	19	18	22
YCL009C	38	68	59	58	47	69
YCL008C	14	12	18	14	16	19
YCL007C	0	0	0	1	1	1
YCL005W-A	2	1	4	2	1	2
snR43	1	2	3	5	0	3
YCL005W	20	11	30	9	9	15
YCL004W	21	17	13	10	11	13
YCL002C	13	17	13	17	10	26
YCL001W	16	27	28	15	16	26
YCL001W-A	2	3	0	3	2	3
YCL001W-B	5	3	3	3	7	10
YCR001W	3	1	1	0	0	2
YCR002C	45	34	50	33	41	26
YCR003W	19	31	21	8	19	16
YCR004C	39	58	40	80	75	62
YCR005C	104	121	124	78	66	77
YCR006C	6	5	3	7	2	8
tP(AGG)C	0	0	0	0	0	0
YCR007C	13	14	3	11	7	14
tN(GUU)C	0	0	0	0	0	0
YCR008W	47	43	55	35	33	48
YCR009C	46	48	34	47	34	53
YCR010C	4	5	23	87	101	93
YCR011C	59	71	52	70	69	98
YCR012W	67	79	71	69	79	75
YCR013C	3	4	2	5	1	4
YCR014C	27	28	20	27	28	57
YCR015C	15	16	9	6	5	11
snR33	3	8	1	3	3	3
tG(GCC)C	0	0	0	0	0	0
YCR016W	15	20	10	5	6	14
YCR017C	59	82	50	71	59	75
YCR018C	19	21	23	27	17	32
tM(CAU)C	0	0	0	0	0	0
tK(CUU)C	0	0	0	0	0	0
YCR018C-A	0	2	4	4	4	1
YCR019W	14	16	20	13	8	19
YCR020C	38	58	33	18	21	28
YCR020C-A	13	12	6	5	6	13
YCR020W-B	3	5	6	4	8	10
YCR021C	16	22	10	38	43	72
YCR022C	1	0	0	1	0	2
YCR023C	41	44	25	24	39	44
